STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap,awc_below_80,awc_below_95,operational_priority_score,coverage_gap_pct,awc_below_80_pct,awc_below_95_pct
Odisha,Cuttack,Banki,182,6784,6783,99.97252747252747,1.2575274725274725,0.8681868131868131,1.50510989010989,0,0,99.98525943396226,0.0,0.0,1.0,0.0,181.0,1,0.0,1.0,2.8209555774414263,0.01474056603773585,0.0,0.5494505494505495
Odisha,Cuttack,Athagarh,237,10140,10137,99.95915611814345,0.9475949367088609,0.25054852320675103,0.6584388185654009,0,0,99.97041420118343,0.0,0.0,1.0,0.0,236.0,3,0.0,1.0,2.2576336354330513,0.02958579881656805,0.0,0.42194092827004215
Odisha,Cuttack,Badamba,206,8893,8889,99.96946601941747,1.1026699029126215,0.5007766990291262,1.528495145631068,0,0,99.95502080287866,0.0,0.0,0.0,2.0,204.0,4,0.0,0.0,0.2248959856066569,0.04497919712133138,0.0,0.0
Odisha,Deogarh,Reamal,255,8304,8300,99.92388235294118,1.4138431372549018,0.393843137254902,3.072627450980392,0,0,99.95183044315993,0.0,0.0,1.0,3.0,251.0,4,0.0,1.0,2.2016320979258754,0.04816955684007707,0.0,0.39215686274509803
Odisha,Deogarh,Barkote,256,7311,7306,99.9551171875,2.218046875,1.5125781249999999,4.3253515625,0,0,99.93160990288607,0.0,0.0,0.0,4.0,252.0,5,0.0,0.0,0.3419504855696895,0.0683900971139379,0.0,0.0
Odisha,Deogarh,Tileibani,289,7121,7121,100.0,1.4346020761245672,0.6971626297577854,2.499204152249135,0,0,100.0,0.0,0.0,0.0,0.0,289.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Dhenkanal,Dhenkanal,281,12174,12133,99.71918149466192,1.0980427046263346,0.40252669039145905,1.7275800711743772,0,0,99.66321669130936,0.0,1.0,2.0,12.0,266.0,41,1.0,3.0,14.139432557688137,0.3367833086906522,0.3558718861209964,1.0676156583629894
Odisha,Dhenkanal,Hindol,423,12572,12559,99.89205673758865,1.051063829787234,0.6663593380614657,2.568321513002364,0,0,99.89659560929049,0.0,0.0,2.0,10.0,411.0,13,0.0,2.0,2.8810881474009937,0.1034043907095132,0.0,0.4728132387706856
Odisha,Dhenkanal,Kankadahad,221,8835,8831,99.96570135746606,1.2524886877828054,0.3399547511312217,0.739185520361991,0,0,99.95472552348613,0.0,0.0,1.0,1.0,219.0,4,0.0,1.0,2.488815821483354,0.04527447651386531,0.0,0.4524886877828055
Odisha,Dhenkanal,Kamakshyanagar,248,8069,8063,99.94028225806451,1.066008064516129,0.6860080645161291,1.5604435483870969,0,0,99.92564134341306,0.0,0.0,1.0,4.0,243.0,6,0.0,1.0,2.387922315192753,0.07435865658693766,0.0,0.4032258064516129
Odisha,Dhenkanal,Bhubana,270,8402,8394,99.90133333333334,1.2905925925925925,0.3932962962962963,0.897,0,0,99.90478457510117,0.0,0.0,1.0,5.0,264.0,8,0.0,1.0,2.32792897634602,0.09521542489883361,0.0,0.3703703703703704
Odisha,Gajapati,Gumma,351,7176,7172,99.90165242165243,3.3563817663817663,1.4936752136752136,4.771111111111112,0,0,99.94425863991081,0.0,1.0,0.0,2.0,348.0,4,1.0,1.0,7.401213922953053,0.055741360089186176,0.2849002849002849,0.2849002849002849
Odisha,Gajapati,Rayagada,312,5801,5792,99.87583333333333,4.2235576923076925,1.7226282051282051,7.118878205128206,0,0,99.8448543354594,0.0,0.0,3.0,5.0,304.0,9,0.0,3.0,5.58342063039529,0.15514566454059645,0.0,0.9615384615384616
Odisha,Gajapati,PARALAKHEMUNDI,320,4302,4297,99.93553125,1.687,1.4421875,3.1306875,0,0,99.8837749883775,0.0,0.0,3.0,1.0,316.0,5,0.0,3.0,5.268625058112506,0.11622501162250116,0.0,0.9375
Odisha,Gajapati,Mohana,642,16120,16111,99.9398753894081,1.4805919003115264,0.3510747663551402,1.2292367601246106,0,0,99.94416873449131,0.0,0.0,3.0,4.0,635.0,9,0.0,3.0,2.615604925674265,0.05583126550868486,0.0,0.46728971962616817
Odisha,Gajapati,Kashinagar,281,4099,4097,99.95416370106761,1.9805338078291814,0.9569039145907473,2.6434163701067614,0,0,99.95120761161259,0.0,0.0,1.0,1.0,279.0,2,0.0,1.0,2.02332137254204,0.04879238838741156,0.0,0.3558718861209964
Odisha,Ganjam,RANGEILUNDA,233,13306,13294,99.88030042918456,1.6206437768240345,1.0660515021459227,2.0488412017167383,0,0,99.90981512099805,0.0,0.0,1.0,5.0,227.0,12,0.0,1.0,2.5968471417908856,0.090184879001954,0.0,0.4291845493562232
