STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap
Odisha,Bargarh,GAISILET,182,6010,6010,100.0,0.6713186813186813,0.2567582417582418,0.8609890109890109,0,0,100.0,0.0,0.0,0.0,0.0,182.0,0
Odisha,Bargarh,JHARBANDH,199,6563,6563,100.0,0.687035175879397,0.7556281407035176,2.3256281407035178,0,0,100.0,0.0,0.0,0.0,0.0,199.0,0
Odisha,Bargarh,PADAMPUR,197,9402,9402,100.0,0.7528934010152284,0.6277664974619289,0.9205583756345177,0,0,100.0,0.0,0.0,0.0,0.0,197.0,0
Odisha,Bargarh,PAIKMAL,211,9204,9204,100.0,0.13644549763033176,0.20734597156398105,0.46293838862559245,0,0,100.0,0.0,0.0,0.0,0.0,211.0,0
Odisha,Bargarh,SOHELA,328,8569,8567,99.97926829268292,0.598719512195122,0.3028963414634146,1.0577439024390243,0,0,99.97666005368188,0.0,0.0,0.0,2.0,326.0,2
Odisha,Bhadrak,Basudevpur,422,18486,18484,99.99109004739336,0.5016350710900473,0.4833175355450237,1.5851658767772514,0,0,99.98918100183923,0.0,0.0,0.0,2.0,420.0,2
Odisha,Bhadrak,Bhadrak,450,23025,23018,99.98011111111111,0.6860666666666667,0.5649111111111111,1.252,0,0,99.96959826275787,0.0,0.0,0.0,4.0,446.0,7
Odisha,Bhadrak,Bhandaripokhari,240,8908,8904,99.965375,1.5464583333333333,1.1797916666666666,2.7814166666666664,0,0,99.95509654243376,0.0,0.0,0.0,4.0,236.0,4
Odisha,Bhadrak,Bonth,238,9300,9297,99.95558823529412,0.8497058823529411,0.6534873949579832,2.331806722689076,0,0,99.96774193548387,0.0,0.0,0.0,3.0,235.0,3
Odisha,Bhadrak,Chandbali-I,220,9527,9527,100.0,1.0432272727272727,0.9650909090909091,2.233681818181818,0,0,100.0,0.0,0.0,0.0,0.0,220.0,0
Odisha,Bhadrak,Chandbali-Ii(R),208,8723,8717,99.9316826923077,0.6385576923076923,0.9049038461538461,1.4402884615384615,0,0,99.93121632465895,0.0,0.0,0.0,5.0,203.0,6
Odisha,Bhadrak,Dhamnagar,353,13929,13927,99.98747875354108,0.8672521246458923,0.4488668555240793,2.1810764872521244,0,0,99.98564146744204,0.0,0.0,0.0,2.0,351.0,2
Odisha,Bhadrak,Tihidi,304,14030,14025,99.96121710526316,0.8887828947368421,1.1217763157894736,2.853651315789474,0,0,99.96436208125445,0.0,0.0,0.0,4.0,300.0,5
Odisha,Boudh,Boudh,253,13125,13103,99.72102766798419,1.4737549407114625,0.5818181818181818,2.01403162055336,0,0,99.83238095238094,1.0,0.0,0.0,3.0,249.0,22
Odisha,Boudh,Harbhanga,219,10430,10427,99.97132420091324,1.6589954337899544,0.3599543378995434,2.36337899543379,0,0,99.9712368168744,0.0,0.0,1.0,1.0,217.0,3
Odisha,Boudh,Kantamal,255,12412,12412,100.0,2.443686274509804,0.48305882352941176,3.0660000000000003,0,0,100.0,0.0,0.0,0.0,0.0,255.0,0
Odisha,Cuttack,Athagarh,237,10140,10137,99.95915611814345,0.9475949367088609,0.25054852320675103,0.6584388185654009,0,0,99.97041420118343,0.0,0.0,1.0,0.0,236.0,3
